userID,productID,id,brand,categories,colors,count,dateAdded,dateUpdated,descriptions,dimension,ean,features,imageURLs,keys,manufacturer,manufacturerNumber,merchants,name,prices.amountMin,prices.amountMax,prices.condition,prices.currency,prices.dateAdded,prices.dateSeen,prices.isSale,prices.merchant,prices.offer,prices.shipping,prices.sourceURLs,reviews,sizes,skus,sourceURLs,upc,ratings,timestamp
A39HTATAQ9V7YF,AVpfHrJ6ilAPnD_xVXOI,205616461,Josmo,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,,2016-11-07T00:45:12Z,2016-11-07T00:45:12Z,"[{""dateSeen"":[""2016-11-07T00:45:12Z""],""sourceURLs"":[""https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Specifications- Color Navy- Size Wide- Size 75- Dimensions 3'' H x 275'' W x 575'' L- Weight 05 lbs SKU: JSMS082""}]",,6.99E+11,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Shoe Size"",""value"":[""M""]},{""key"":""Shoe Category"",""value"":[""Men's Shoes""]},{""key"":""Color"",""value"":[""Multicolor""]},{""key"":""Manufacturer Part Number"",""value"":[""8190-W-NAVY-7.5""]},{""key"":""Brand"",""value"":[""Josmo""]}]",https://i5.walmartimages.com/asr/13ac3d61-003c-4a30-94db-7d4e7e94fd3b_1.157f2cdc2551cda33f1191df19dd94ff.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,"josmo/8190wnavy75,699302044036,0699302044036",,8190-W-NAVY-7.5,"[{""dateSeen"":[""2016-11-07T00:45:12Z""],""name"":""Unbeatablesale""}]","Josmo 8190 Plain Infant Walking Shoes, Navy - Wide - Size 7. 5",39.89,39.89,,USD,2016-11-07T00:45:12Z,2016-11-05T00:00:00Z,TRUE,,REDUCED USD 12.10,,https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984,,,,https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984,6.99E+11,5,1369699200
A3JM6GV9MNOF9X,AVpfHrJ6ilAPnD_xVXOI,558925278,Josmo,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,,2016-11-07T00:45:12Z,2016-11-07T00:45:12Z,"[{""dateSeen"":[""2016-11-07T00:45:12Z""],""sourceURLs"":[""https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Specifications- Color Navy- Size Wide- Size 75- Dimensions 3'' H x 275'' W x 575'' L- Weight 05 lbs SKU: JSMS082""}]",,6.99E+11,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Shoe Size"",""value"":[""M""]},{""key"":""Shoe Category"",""value"":[""Men's Shoes""]},{""key"":""Color"",""value"":[""Multicolor""]},{""key"":""Manufacturer Part Number"",""value"":[""8190-W-NAVY-7.5""]},{""key"":""Brand"",""value"":[""Josmo""]}]",https://i5.walmartimages.com/asr/13ac3d61-003c-4a30-94db-7d4e7e94fd3b_1.157f2cdc2551cda33f1191df19dd94ff.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,"josmo/8190wnavy75,699302044036,0699302044036",,8190-W-NAVY-7.5,"[{""dateSeen"":[""2016-11-07T00:45:12Z""],""name"":""Unbeatablesale""}]","Josmo 8190 Plain Infant Walking Shoes, Navy - Wide - Size 7. 5",51.99,51.99,new,USD,2016-11-07T00:45:12Z,2016-11-05T00:00:00Z,FALSE,UnbeatableSale - Walmart.com,REDUCED USD 12.10,,https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984,,,,https://www.walmart.com/ip/Josmo-8190-Plain-Infant-Walking-Shoes-Navy-Wide-Size-7-5/160310984,6.99E+11,3,1355443200
A1Z513UWSAAO0F,AVpfHsWP1cnluZ0-eVZ7,558925278,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,,2016-06-14T04:29:57Z,2016-07-09T20:26:48Z,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",./images/6.jpg,servusbyhoneywell/zsr101blmlg,,ZSR101BLMLG,"[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]",Servus By Honeywell Shoe Studs Zsr101blmlg,40.02,40.02,new,USD,2016-06-14T04:29:57Z,2016-03-08T00:00:00Z,FALSE,SIM Supply Inc - Walmart.com,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,5,1404691200
A1WMRR494NWEWV,AVpfHsWP1cnluZ0-eVZ7,733001998,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,,2016-06-14T04:29:57Z,2016-07-09T20:26:48Z,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",./images/6.jpg,servusbyhoneywell/zsr101blmlg,,ZSR101BLMLG,"[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]",Servus By Honeywell Shoe Studs Zsr101blmlg,50.31,50.31,new,USD,2016-06-14T04:29:57Z,2015-11-30T00:00:00Z,FALSE,SIM Supply Inc - Walmart.com,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,4,1382572800
A3IAAVS479H7M7,AVpfHsWP1cnluZ0-eVZ7,737104473,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,,2016-06-14T04:29:57Z,2016-07-09T20:26:48Z,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",./images/6.jpg,servusbyhoneywell/zsr101blmlg,,ZSR101BLMLG,"[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]",Servus By Honeywell Shoe Studs Zsr101blmlg,46.26,46.26,new,USD,2016-06-14T04:29:57Z,2016-04-29T00:00:00Z,FALSE,SIM Supply Inc - Walmart.com,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,1,1274227200
AKJHHD5VEH7VG,AVpfHsWP1cnluZ0-eVZ7,762451459,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,,2016-06-14T04:29:57Z,2016-07-09T20:26:48Z,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",./images/6.jpg,servusbyhoneywell/zsr101blmlg,,ZSR101BLMLG,"[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]",Servus By Honeywell Shoe Studs Zsr101blmlg,55.99,55.99,new,USD,2016-06-14T04:29:57Z,2016-07-09T00:00:00Z,FALSE,SIM Supply Inc - Walmart.com,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,5,1404518400
A1BG8QW55XHN6U,AVpfHsWP1cnluZ0-eVZ7,1304139212,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,,2016-06-14T04:29:57Z,2016-07-09T20:26:48Z,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",./images/6.jpg,servusbyhoneywell/zsr101blmlg,,ZSR101BLMLG,"[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]",Servus By Honeywell Shoe Studs Zsr101blmlg,41.12,41.12,new,USD,2016-06-14T04:29:57Z,2016-03-10T00:00:00Z,FALSE,SIM Supply Inc - Walmart.com,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,5,1371945600
A22VW0P4VZHDE3,AVpfHsWP1cnluZ0-eVZ7,1304139220,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,,2016-06-14T04:29:57Z,2016-07-09T20:26:48Z,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",./images/6.jpg,servusbyhoneywell/zsr101blmlg,,ZSR101BLMLG,"[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]",Servus By Honeywell Shoe Studs Zsr101blmlg,46.19,46.19,new,USD,2016-06-14T04:29:57Z,2016-06-13T00:00:00Z,TRUE,SIM Supply Inc - Walmart.com,SAVINGS_AMT USD 9.80,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,5,1373068800
A3V3RE4132GKRO,AVpfHsWP1cnluZ0-eVZ7,130414089X,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,,2016-06-14T04:29:57Z,2016-07-09T20:26:48Z,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",./images/6.jpg,servusbyhoneywell/zsr101blmlg,,ZSR101BLMLG,"[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]",Servus By Honeywell Shoe Studs Zsr101blmlg,21.4,21.4,new,USD,2016-06-14T04:29:57Z,2016-07-09T00:00:00Z,TRUE,SIM Supply Inc - Walmart.com,SAVINGS_AMT USD 34.59,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,5,1401840000
A327B0I7CYTEJC,AVpfHsWP1cnluZ0-eVZ7,130414643X,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,,2016-06-14T04:29:57Z,2016-07-09T20:26:48Z,"[{""dateSeen"":[""2016-07-09T20:26:48Z""],""sourceURLs"":[""http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Studs, Shoe, Large, PrShoe Studs, Gender: Men's, Size: 10 to 12, Material: Stretch Rubber, Color: Black""}]",,,"[{""key"":""Gender"",""value"":[""Men""]},{""key"":""Color"",""value"":[""Black""]},{""key"":""Shipping Weight (in pounds)"",""value"":[""0.45""]},{""key"":""Condition"",""value"":[""New""]},{""key"":""Brand"",""value"":[""SERVUS BY HONEYWELL""]},{""key"":""manufacturer_part_number"",""value"":[""ZSR101BLMLG""]}]",./images/6.jpg,servusbyhoneywell/zsr101blmlg,,ZSR101BLMLG,"[{""dateSeen"":[""2016-06-14T04:29:57Z""],""name"":""Sim Supply Inc""}]",Servus By Honeywell Shoe Studs Zsr101blmlg,45.23,45.23,new,USD,2016-06-14T04:29:57Z,2016-04-18T00:00:00Z,FALSE,SIM Supply Inc - Walmart.com,SAVINGS_AMT USD 34.59,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,,,http://www.walmart.com/ip/Studs-Shoe-Large-Pr-ZSR101BLMLG/39798470,,4,1389052800
